"artist","l1","l2","l3"
aventura,aventura,aventura,aventura
average white b,average white b,average white b,average white b
avicii,avicii,avicii,avicii
avril lavigne,avril lavigne,avril lavigne,avril lavigne
awb,awb,awb,awb
awolnation,awolnation,awolnation,awolnation
ayo,ayo,ayo,ayo
az,az,az,az
az yet,az yet,az yet,az yet
azul azul,azul azul,azul azul,azul azul
b,b,b,b
b angie b,b angie b,b angie b,b angie b
b rich,b rich,b rich,b rich
b*witched,b*witched,b*witched,b witched
b-rock,b-rock,b-rock,b rock
b. bumble,b. bumble,b. bumble,b bumble
b.b. king,b.b. king,b.b. king,b b king
b.c.g. (b.c. generation),b.c.g.,b.c.g.,b c g
b.e. taylor group,b.e. taylor group,b.e. taylor group,b e taylor group
b.g.,b.g.,b.g.,b g
b.g. the prince of rap,b.g. the prince of rap,b.g. the prince of rap,b g the prince of rap
b.j. thomas,b.j. thomas,b.j. thomas,b j thomas
b.m.u. (black men united),b.m.u.,b.m.u.,b m u
b.o.b,b.o.b,b.o.b,b o b
b.t. e,b.t. e,b.t. e,b t e
b.w. stevenson,b.w. stevenson,b.w. stevenson,b w stevenson
b2k,b2k,b2k,b2k
baauer,baauer,baauer,baauer
baby,baby,baby,baby
baby bash,baby bash,baby bash,baby bash
baby boy da prince,baby boy da prince,baby boy da prince,baby boy da prince
baby cortez,baby cortez,baby cortez,baby cortez
baby jane,baby jane,baby jane,baby jane
baby keem,baby keem,baby keem,baby keem
baby ray,baby ray,baby ray,baby ray
baby talk,baby talk,baby talk,baby talk
baby washington,baby washington,baby washington,baby washington
babychiefdoit,babychiefdoit,babychiefdoit,babychiefdoit
babyface,babyface,babyface,babyface
babyface (,babyface (,babyface (,babyface
bachman-turner overdrive,bachman-turner overdrive,bachman-turner overdrive,bachman turner overdrive
backstreet boys,backstreet boys,backstreet boys,backstreet boys
bad boy's da b,bad boy's da b,bad boys da b,bad boys da b
bad boys blue,bad boys blue,bad boys blue,bad boys blue
bad bunny,bad bunny,bad bunny,bad bunny
bad company,bad company,bad company,bad company
bad english,bad english,bad english,bad english
bad meets evil,bad meets evil,bad meets evil,bad meets evil
bad wolves,bad wolves,bad wolves,bad wolves
badfinger,badfinger,badfinger,badfinger
baha men,baha men,baha men,baha men
bailey zimmerman,bailey zimmerman,bailey zimmerman,bailey zimmerman
baja marimba b,baja marimba b,baja marimba b,baja marimba b
bakar,bakar,bakar,bakar
balance,balance,balance,balance
ballin' jack,ballin' jack,ballin jack,ballin jack
baltimora,baltimora,baltimora,baltimora
bama,bama,bama,bama
bananarama,bananarama,bananarama,bananarama
bang,bang,bang,bang
banzaii,banzaii,banzaii,banzaii
bar-kays,bar-kays,bar-kays,bar kays
barbara,barbara,barbara,barbara
barbara acklin,barbara acklin,barbara acklin,barbara acklin
barbara fairchild,barbara fairchild,barbara fairchild,barbara fairchild
barbara george,barbara george,barbara george,barbara george
barbara greene,barbara greene,barbara greene,barbara greene
barbara lewis,barbara lewis,barbara lewis,barbara lewis
barbara lynn,barbara lynn,barbara lynn,barbara lynn
barbara m,barbara m,barbara m,barbara m
barbara mason,barbara mason,barbara mason,barbara mason
barbra streis,barbra streis,barbra streis,barbra streis
bardeu,bardeu,bardeu,bardeu
barenaked ladies,barenaked ladies,barenaked ladies,barenaked ladies
baron stewart,baron stewart,baron stewart,baron stewart
barrett baber,barrett baber,barrett baber,barrett baber
barrett strong,barrett strong,barrett strong,barrett strong
barry,barry,barry,barry
barry devorzon,barry devorzon,barry devorzon,barry devorzon
barry gibb,barry gibb,barry gibb,barry gibb
barry manilow,barry manilow,barry manilow,barry manilow
barry mann,barry mann,barry mann,barry mann
barry mcguire,barry mcguire,barry mcguire,barry mcguire
barry ryan,barry ryan,barry ryan,barry ryan
barry white,barry white,barry white,barry white
barry young,barry young,barry young,barry young
bas,bas,bas,bas
basia,basia,basia,basia
bastille,bastille,bastille,bastille
batdorf,batdorf,batdorf,batdorf
bay city rollers,bay city rollers,bay city rollers,bay city rollers
baz luhrmann,baz luhrmann,baz luhrmann,baz luhrmann
bazzi,bazzi,bazzi,bazzi
bbmak,bbmak,bbmak,bbmak
bea miller,bea miller,bea miller,bea miller
beanie sigel,beanie sigel,beanie sigel,beanie sigel
beastie boys,beastie boys,beastie boys,beastie boys
beats international,beats international,beats international,beats international
beau brummels,beau brummels,beau brummels,beau brummels
beau coup,beau coup,beau coup,beau coup
bebe,bebe,bebe,bebe
bebe re,bebe re,bebe re,bebe re
bebe winans,bebe winans,bebe winans,bebe winans
beck,beck,beck,beck
beckmeier brothers,beckmeier brothers,beckmeier brothers,beckmeier brothers
becky g,becky g,becky g,becky g
becky g + natti natasha,becky g + natti natasha,becky g + natti natasha,becky g natti natasha
bee gees,bee gees,bee gees,bee gees
beenie man,beenie man,beenie man,beenie man
before dark,before dark,before dark,before dark
belinda carlisle,belinda carlisle,belinda carlisle,belinda carlisle
bell,bell,bell,bell
bell biv devoe,bell biv devoe,bell biv devoe,bell biv devoe
bella poarch,bella poarch,bella poarch,bella poarch
bella thorne,bella thorne,bella thorne,bella thorne
bellamy brothers,bellamy brothers,bellamy brothers,bellamy brothers
belle epoque,belle epoque,belle epoque,belle epoque
belly,belly,belly,belly
belouis some,belouis some,belouis some,belouis some
ben colder,ben colder,ben colder,ben colder
ben e. king,ben e. king,ben e. king,ben e king
ben folds,ben folds,ben folds,ben folds
ben rector,ben rector,ben rector,ben rector
benee,benee,benee,benee
benjamin orr,benjamin orr,benjamin orr,benjamin orr
benny bell,benny bell,benny bell,benny bell
benny blanco,benny blanco,benny blanco,benny blanco
benny mardones,benny mardones,benny mardones,benny mardones
benny spellman,benny spellman,benny spellman,benny spellman
benny the butcher,benny the butcher,benny the butcher,benny the butcher
benson boone,benson boone,benson boone,benson boone
bent fabric,bent fabric,bent fabric,bent fabric
benzino,benzino,benzino,benzino
berlin,berlin,berlin,berlin
berlin philharmonic,berlin philharmonic,berlin philharmonic,berlin philharmonic
bernadette carroll,bernadette carroll,bernadette carroll,bernadette carroll
bernadette peters,bernadette peters,bernadette peters,bernadette peters
bernie lowe orchestra,bernie lowe orchestra,bernie lowe orchestra,bernie lowe orchestra
bert kaempfert,bert kaempfert,bert kaempfert,bert kaempfert
bert sommer,bert sommer,bert sommer,bert sommer
bertha tillman,bertha tillman,bertha tillman,bertha tillman
bertie higgins,bertie higgins,bertie higgins,bertie higgins
beth hart,beth hart,beth hart,beth hart
bette midler,bette midler,bette midler,bette midler
better than ezra,better than ezra,better than ezra,better than ezra
betty boo,betty boo,betty boo,betty boo
betty everett,betty everett,betty everett,betty everett
betty harris,betty harris,betty harris,betty harris
betty johnson,betty johnson,betty johnson,betty johnson
betty madigan,betty madigan,betty madigan,betty madigan
betty wright,betty wright,betty wright,betty wright
bettye swann,bettye swann,bettye swann,bettye swann
beverly bremers,beverly bremers,beverly bremers,beverly bremers
beyonce,beyonce,beyonce,beyonce
bhad bhabie,bhad bhabie,bhad bhabie,bhad bhabie
bia,bia,bia,bia
biddu orchestra,biddu orchestra,biddu orchestra,biddu orchestra
big,big,big,big
big audio,big audio,big audio,big audio
big bopper,big bopper,big bopper,big bopper
big brother,big brother,big brother,big brother
big bub,big bub,big bub,big bub
big country,big country,big country,big country
big daddy kane,big daddy kane,big daddy kane,big daddy kane
big dee irwin (,big dee irwin (,big dee irwin (,big dee irwin
big jay mcneely,big jay mcneely,big jay mcneely,big jay mcneely
big maybelle,big maybelle,big maybelle,big maybelle
big mountain,big mountain,big mountain,big mountain
big noise,big noise,big noise,big noise
big pig,big pig,big pig,big pig
big punisher,big punisher,big punisher,big punisher
big red machine,big red machine,big red machine,big red machine
big ric,big ric,big ric,big ric
big sambo,big sambo,big sambo,big sambo
big sean,big sean,big sean,big sean
big sister,big sister,big sister,big sister
big time rush,big time rush,big time rush,big time rush
big trouble,big trouble,big trouble,big trouble
big tymers,big tymers,big tymers,big tymers
bilal,bilal,bilal,bilal
bill,bill,bill,bill
bill amesbury,bill amesbury,bill amesbury,bill amesbury
bill black's combo,bill black's combo,bill blacks combo,bill blacks combo
bill br,bill br,bill br,bill br
bill champlin,bill champlin,bill champlin,bill champlin
bill conti,bill conti,bill conti,bill conti
bill cosby,bill cosby,bill cosby,bill cosby
bill deal,bill deal,bill deal,bill deal
bill doggett,bill doggett,bill doggett,bill doggett
bill engvall,bill engvall,bill engvall,bill engvall
bill haley,bill haley,bill haley,bill haley
bill labounty,bill labounty,bill labounty,bill labounty
bill medley,bill medley,bill medley,bill medley
bill parsons,bill parsons,bill parsons,bill parsons
bill pursell,bill pursell,bill pursell,bill pursell
bill quateman,bill quateman,bill quateman,bill quateman
bill wray,bill wray,bill wray,bill wray
bill wyman,bill wyman,bill wyman,bill wyman
billie eilish,billie eilish,billie eilish,billie eilish
billie jo spears,billie jo spears,billie jo spears,billie jo spears
billie myers,billie myers,billie myers,billie myers
billie ray martin,billie ray martin,billie ray martin,billie ray martin
billie sans,billie sans,billie sans,billie sans
billy,billy,billy,billy
billy abbott,billy abbott,billy abbott,billy abbott
billy bl,billy bl,billy bl,billy bl
billy burnette,billy burnette,billy burnette,billy burnette
billy butler,billy butler,billy butler,billy butler
billy crash craddock,billy crash craddock,billy crash craddock,billy crash craddock
billy crystal,billy crystal,billy crystal,billy crystal
billy currington,billy currington,billy currington,billy currington
billy dean,billy dean,billy dean,billy dean
billy edd wheeler,billy edd wheeler,billy edd wheeler,billy edd wheeler
billy falcon,billy falcon,billy falcon,billy falcon
billy gilman,billy gilman,billy gilman,billy gilman
billy grammer,billy grammer,billy grammer,billy grammer
billy graves,billy graves,billy graves,billy graves
billy idol,billy idol,billy idol,billy idol
billy j. kramer,billy j. kramer,billy j. kramer,billy j kramer
billy joe,billy joe,billy joe,billy joe
billy joe royal,billy joe royal,billy joe royal,billy joe royal
billy joel,billy joel,billy joel,billy joel
billy lawrence,billy lawrence,billy lawrence,billy lawrence
billy lee riley,billy lee riley,billy lee riley,billy lee riley
billy lemmons,billy lemmons,billy lemmons,billy lemmons
billy ocean,billy ocean,billy ocean,billy ocean
billy paul,billy paul,billy paul,billy paul
billy preston,billy preston,billy preston,billy preston
billy rankin,billy rankin,billy rankin,billy rankin
billy ray cyrus,billy ray cyrus,billy ray cyrus,billy ray cyrus
billy satellite,billy satellite,billy satellite,billy satellite
billy squier,billy squier,billy squier,billy squier
billy stewart,billy stewart,billy stewart,billy stewart
billy storm,billy storm,billy storm,billy storm
billy strange,billy strange,billy strange,billy strange
billy swan,billy swan,billy swan,billy swan
billy thorpe,billy thorpe,billy thorpe,billy thorpe
billy thunderkloud,billy thunderkloud,billy thunderkloud,billy thunderkloud
billy vaughn,billy vaughn,billy vaughn,billy vaughn
billy vera,billy vera,billy vera,billy vera
billy walker,billy walker,billy walker,billy walker
billy williams,billy williams,billy williams,billy williams
bimbo jet,bimbo jet,bimbo jet,bimbo jet
bing crosby,bing crosby,bing crosby,bing crosby
bingo boys,bingo boys,bingo boys,bingo boys
bird york,bird york,bird york,bird york
birdlegs,birdlegs,birdlegs,birdlegs
birdman,birdman,birdman,birdman
biscuit,biscuit,biscuit,biscuit
biz markie,biz markie,biz markie,biz markie
