artist,l1,l2,l3,matched_name,spotify_artist_id,genres
the peppermint rainbow,the peppermint rainbow,the peppermint rainbow,the peppermint rainbow,,,
the peppermint trolley company,the peppermint trolley company,the peppermint trolley company,the peppermint trolley company,The Peppermint Trolley Company,64ijtgQIy6sWzgsoyFnMyd,baroque pop;acid rock;psychedelic rock
the peppers,the peppers,the peppers,the peppers,Ginger and the Peppers,0KoVNtPMo6FhHSHQO7NDLG,
the percells,the percells,the percells,the percells,The Percells,5ekHxvK2WkJiuTEsoYp4JF,
the persuaders,the persuaders,the persuaders,the persuaders,The Persuaders,6PhJqhvF42CZ42NUmxIKLB,classic soul;philly soul
the pete klint quintet,the pete klint quintet,the pete klint quintet,the pete klint quintet,,,
the pharcyde,the pharcyde,the pharcyde,the pharcyde,The Pharcyde,7yk35uHNQclPXFGFoTU44w,jazz rap;west coast hip hop;old school hip hop;hip hop
the philarmonics,the philarmonics,the philarmonics,the philarmonics,,,
the pi,the pi,the pi,the pi,Pierce The Veil,4iJLPqClelZOBCBifm8Fzv,emo;screamo;post-hardcore
the piltdown men,the piltdown men,the piltdown men,the piltdown men,The Piltdown Men,59odcNVoOyBTkXj9Jclyg6,surf rock
the pipes,the pipes,the pipes,the pipes,The Pipes & Drums of Leanisch,6tGrop0JeLuo5dIJwA5T2c,celtic
the pipkins,the pipkins,the pipkins,the pipkins,The Pipkins,7b8blpDsdFfs5DMMMLBuX0,
the platters,the platters,the platters,the platters,The Platters,6KWcxMWVNVIYbdOQyJtsSy,doo-wop
the playboys,the playboys,the playboys,the playboys,Gary Lewis & The Playboys,0XTxadWXVyfB8eTIYOjMYj,
the playmates,the playmates,the playmates,the playmates,The Playmates,1bpcq3dBWR6ykfx2Sod8Fy,doo-wop
the plimsouls,the plimsouls,the plimsouls,the plimsouls,The Plimsouls,7BnikuGfXRWkGLJCWS1y9P,power pop;jangle pop;new wave
the poets,the poets,the poets,the poets,Poets of the Fall,1AZ30JnvQU1pbX6sbRE0Yn,finnish rock
the pointer sisters,the pointer sisters,the pointer sisters,the pointer sisters,The Pointer Sisters,2kreKea2n96dXjcyAU9j5N,disco
the police,the police,the police,the police,The Police,5NGO30tJxFlKixkPSgXcFE,
the poppies,the poppies,the poppies,the poppies,The Big Poppies,4W4UO1UPxxAFEci8TaRdHJ,
the poppy family,the poppy family,the poppy family,the poppy family,The Poppy Family,0XawOhZ28ajmIWwPpRJuDA,
the poppy family (,the poppy family (,the poppy family (,the poppy family,The Poppy Family,0XawOhZ28ajmIWwPpRJuDA,
the postal service,the postal service,the postal service,the postal service,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,
the power station,the power station,the power station,the power station,The Power Station,1EemADz12kjlGwkpY4EINv,
the precisions,the precisions,the precisions,the precisions,The Precisions,04wcvutO63WXxkQtmuQKkh,northern soul;doo-wop
the preludes five,the preludes five,the preludes five,the preludes five,,,
the premiers,the premiers,the premiers,the premiers,The Premiers,7j1U73GyJma4AM3T5C7Dmc,garage rock;proto-punk;doo-wop;rockabilly
the presidents,the presidents,the presidents,the presidents,The Presidents Of The United States Of America,1lZvg4fNAqHoj6I9N8naBM,grunge;alternative rock
the presidents of the united states of america,the presidents of the united states of america,the presidents of the united states of america,the presidents of the united states of america,The Presidents Of The United States Of America,1lZvg4fNAqHoj6I9N8naBM,grunge;alternative rock
the proclaimers,the proclaimers,the proclaimers,the proclaimers,The Proclaimers,1A92IAcd7A6npCA33oGM5i,
the prodigy,the prodigy,the prodigy,the prodigy,The Prodigy,4k1ELeJKT1ISyDv8JivPpB,big beat;breakbeat;hardcore techno
the producers,the producers,the producers,the producers,Original Broadway Cast of The Producers,5NL9v6KR46cpVGigM6tLoo,musicals
the puppies,the puppies,the puppies,the puppies,The Puppies,0RAQaX2XsuwwIP40iW0Qmc,miami bass
the pussycat dolls,the pussycat dolls,the pussycat dolls,the pussycat dolls,The Pussycat Dolls,6wPhSqRtPu1UhRCDX5yaDJ,
the pyramids,the pyramids,the pyramids,the pyramids,The Pyramids,7Krj6vYZibCNyVu9iLqlt8,surf rock
the quarter notes,the quarter notes,the quarter notes,the quarter notes,The Quarter Notes,6HtqIZ3hvaexvaAREhDKoF,doo-wop;rockabilly
the quin-tones,the quin-tones,the quin-tones,the quin tones,The Quin-Tones,1LKeVNHnNqcwu3teGB3a3o,doo-wop
the raconteurs,the raconteurs,the raconteurs,the raconteurs,The Raconteurs,4wo1267SJuUfHgasdlfNfc,garage rock;alternative rock
the radiants,the radiants,the radiants,the radiants,The Radiants,2aB94xAF1yUDTGLTIdkw7I,northern soul;doo-wop
the raelets/ray charles orchestra,the raelets/ray charles orchestra,the raelets/ray charles orchestra,the raelets ray charles orchestra,,,
the raeletts,the raeletts,the raeletts,the raeletts,,,
the raes,the raes,the raes,the raes,The Lulu Raes,4LupifIobUAT1kPRHZB8k1,
the rag dolls,the rag dolls,the rag dolls,the rag dolls,The Raga Dolls Salon Orchestra,3CYGCcKsHDl1o9oRVtqzhJ,
the raiders,the raiders,the raiders,the raiders,Paul Revere & The Raiders,32HPpJAhgnGPT3V7UOggzi,proto-punk;garage rock
the raindrops,the raindrops,the raindrops,the raindrops,The Raindrops,4WB49nYJpWU77yFiDLT6Jb,doo-wop
the rainy daze,the rainy daze,the rainy daze,the rainy daze,,,
the ramblers,the ramblers,the ramblers,the ramblers,Joe Mullins & The Radio Ramblers,1nlVHZslyaaNB0p5SUJe17,bluegrass;southern gospel;christian country;newgrass
the ramones,the ramones,the ramones,the ramones,"Johnny Ramone, Marky Ramone & Dee Dee Ramone (of The Ramones)",6u3eqTBC77gibTS60r3pPp,rockabilly;psychobilly
the ran-dells,the ran-dells,the ran-dells,the ran dells,The Ran Dells,2qsSi2PBkOJDkacR6UAZSF,
the rascals,the rascals,the rascals,the rascals,The Young Rascals,5X3TuTi9OIsJXMGxPwTKM2,
the rationals,the rationals,the rationals,the rationals,The Rationals,2meCldH9KV1ehJBoluZZag,garage rock;proto-punk
the rattles,the rattles,the rattles,the rattles,Frank Carter & The Rattlesnakes,3r32a6mMdoPaSP1C7kYhMc,
the ray charles orchestra,the ray charles orchestra,the ray charles orchestra,the ray charles orchestra,,,
the ray charles singers,the ray charles singers,the ray charles singers,the ray charles singers,The Ray Charles Singers,2FbG2PIAVFvzszwgz2QuOL,easy listening
the ray conniff singers,the ray conniff singers,the ray conniff singers,the ray conniff singers,The Ray Conniff Singers,6WtWmLPWn1imbcisSfmBvy,christmas;orchestral;easy listening;villancicos
the rays,the rays,the rays,the rays,The Rays,3owdLGoMpuTwee9KIh1Ibv,doo-wop
the razor's edge,the razor's edge,the razors edge,the razors edge,Sleeping Among The Razor's Edge,6Q57D327dNjHwthImeLnKa,
the ready set,the ready set,the ready set,the ready set,The Ready Set,2eRJjYEaWyGZbOBGYFLBoC,
the real thing,the real thing,the real thing,the real thing,The Real Thing,1NUD5By34MFynmuUynCfSj,
the rebel pebbles,the rebel pebbles,the rebel pebbles,the rebel pebbles,The Rebel Pebbles,1tCf6wXSd8CXPAshLBEYNb,power pop
the rebels,the rebels,the rebels,the rebels,The Soul Rebels,10NEMYLJwVvYSvtvZn5Ipz,new orleans bounce
the records,the records,the records,the records,The Nave Records,0Q9wMM2TiePeRjIkPHS2Yn,
the red clay strays,the red clay strays,the red clay strays,the red clay strays,The Red Clay Strays,6IKlXZEFOvk9itrP1s0knJ,country
the red jumpsuit apparatus,the red jumpsuit apparatus,the red jumpsuit apparatus,the red jumpsuit apparatus,The Red Jumpsuit Apparatus,1SImpQO0GbjRgvlwCcCtFo,pop punk;emo
the reddings,the reddings,the reddings,the reddings,The Reddings,25J2zw5Yzn51UowSvGjUyJ,post-disco;funk
the redjacks,the redjacks,the redjacks,the redjacks,,,
the reflections,the reflections,the reflections,the reflections,The Calvary Reflections,2vCYLKVs7IhKeoOHAUhZVi,bluegrass;southern gospel;christian country
the regents,the regents,the regents,the regents,The Regents,3ukGXal9ZRsjAUSRL6fRDn,doo-wop
the rembr,the rembr,the rembr,the rembr,The Rembrandts,0gDg7FEsF4Y1jWddJJgcn4,
the rentals,the rentals,the rentals,the rentals,The Rentals,3NmdKZUM96z7NGvL35g5PC,power pop
the replacements,the replacements,the replacements,the replacements,The Replacements,4WPY0N74T3KUja57xMQTZ3,power pop;jangle pop
the revels,the revels,the revels,the revels,"Revels Chorus, The",1bs79dODW0bJaUWCHxVa7f,sea shanties;traditional folk;medieval
the revivalists,the revivalists,the revivalists,the revivalists,The Revivalists,5kuJibJcwOC53s3OkoGMRA,
the ribbons,the ribbons,the ribbons,the ribbons,The Ribbons,7wddKZapPAIcH63DYUIHde,northern soul;doo-wop
the righteous brothers,the righteous brothers,the righteous brothers,the righteous brothers,The Righteous Brothers,4b0WsB47XCa9F83BmwQ7WX,
the rings,the rings,the rings,the rings,The Pinky Rings,3QcoKeUi1jy0tLXWdmjOts,riot grrrl
the rinky-dinks,the rinky-dinks,the rinky-dinks,the rinky dinks,Bobby Darin & The Rinky-Dinks,5qR3kq9vLUY7jUG3K6Lr8X,
the rip chords,the rip chords,the rip chords,the rip chords,The Rip Chords,0WnxcAN2X6IKcdaZpi5X1K,surf rock
the ritchie family,the ritchie family,the ritchie family,the ritchie family,The Ritchie Family,3FxBwdg0z5WkLdlAbe7GHq,disco;philly soul;post-disco;funk
the rivieras,the rivieras,the rivieras,the rivieras,The Rivieras,5iIxOyBhMCDCFwAYGM6B3P,surf rock;doo-wop
the rivingtons,the rivingtons,the rivingtons,the rivingtons,The Rivingtons,75SE13FyXyBw4pcIr4w7tR,doo-wop;northern soul
the road apples,the road apples,the road apples,the road apples,The Road Apples,0su1US9LAbtAhws20JcHcn,country rock
the robert cray b,the robert cray b,the robert cray b,the robert cray b,The Robert Cray Band,6cAtGdArQhrU7tTBoeWY3P,blues;modern blues;blues rock;soul blues;classic blues
the roc project,the roc project,the roc project,the roc project,The Roc Project,5UMXN6PGxu3uqDwpBSMn8A,trance
the rock heroes,the rock heroes,the rock heroes,the rock heroes,The Rock Heroes,0wp7cYNFjMgSHBDdla5aC9,
the rockin r's,the rockin r's,the rockin rs,the rockin rs,Rockin' Ricky Stevens & the Western All-Stars,3rZqYIq3jiPSOtLVG0ZTBx,
the rocky fellers,the rocky fellers,the rocky fellers,the rocky fellers,The Rocky Fellers,0kAHBQ5DaRNcNWrWkNdqeF,doo-wop
the rollers,the rollers,the rollers,the rollers,Kings Of The Rollers,3OHnTiMsWYjSyj52aKmrBP,drum and bass;jungle;bassline;liquid funk
the rolling stones,the rolling stones,the rolling stones,the rolling stones,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,classic rock;rock
the romantics,the romantics,the romantics,the romantics,The Romantics,3daM7asS0gCFvyLemNx2EE,power pop
the romeos,the romeos,the romeos,the romeos,The Kill Romeos,1nYKNvUW066oMNknmQs5UJ,melodic bass
the ron-dels,the ron-dels,the ron-dels,the ron dels,,,
the rondels,the rondels,the rondels,the rondels,The Rondels,5VV2ZMIExZLzUMOKw2okeE,surf rock
the ronettes,the ronettes,the ronettes,the ronettes,The Ronettes,7CyeXFnOrfC1N6z4naIpgo,christmas
the rooftop singers,the rooftop singers,the rooftop singers,the rooftop singers,The Rooftop Singers,6Gb08eT3LlkGynDscl9vbz,
the roommates,the roommates,the roommates,the roommates,The Roommates,3ivplYQLgLGcfqzrnH7N6F,doo-wop
the roots,the roots,the roots,the roots,The Roots,78xUyw6FkVZrRAtziFdtdu,east coast hip hop;jazz rap;hip hop
the rose garden,the rose garden,the rose garden,the rose garden,The Rose Garden,4OlIFruGJ8460GJustxEGj,baroque pop
the routers,the routers,the routers,the routers,The Routers,4ydeJG48hqnTKKop5GYLDF,surf rock
the rovers,the rovers,the rovers,the rovers,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,sea shanties;celtic;celtic rock;celtic punk
the rowans,the rowans,the rowans,the rowans,The Rowans,00nOM3ZEuz8vQmmFlYOfaG,country rock;newgrass
the royal guardsmen,the royal guardsmen,the royal guardsmen,the royal guardsmen,The Royal Guardsmen,2ltpcCK86foogli20z9raq,christmas
the royalettes,the royalettes,the royalettes,the royalettes,The Royalettes,36dt37fIr1mLQRv0dqazg6,northern soul;doo-wop
the royaltones,the royaltones,the royaltones,the royaltones,The Royaltones,4TohiTBQiEArgeIjOqxiM9,doo-wop;surf rock
the rubettes,the rubettes,the rubettes,the rubettes,The Rubettes,44ef9VXkdKxbx4XpoNqH39,glam rock
the rubinoos,the rubinoos,the rubinoos,the rubinoos,The Rubinoos,0ShV0veaBj1NvWRORhuwlI,power pop;jangle pop
the rude boys,the rude boys,the rude boys,the rude boys,Ron and the Rude Boys,2aWwrcfNC6xwpzfy0opiQr,
the rugbys,the rugbys,the rugbys,the rugbys,The Rugbys,59GyfaB3VI1MgsGxuX4MMf,proto-punk;acid rock
the rumblers,the rumblers,the rumblers,the rumblers,The Young Rumblers,6QJR8iunLJDOk6YidzaPSe,philly soul
the s,the s,the s,the s,"He Was an Artist, She Was a Carpenter",1L8qgCGQtaYlaETtq4Ih65,midwest emo;math rock
the s.o.s. b,the s.o.s. b,the s.o.s. b,the s o s b,Lil Jon & The East Side Boyz,3ciRvbBIVz9fBoPbtSYq4x,crunk;southern hip hop
the s.o.u.l. s.y.s.t.e.m.,the s.o.u.l. s.y.s.t.e.m.,the s.o.u.l. s.y.s.t.e.m.,the s o u l s y s t e m,The White Noise Zen & Meditation Sound Lab,0SS2yPrbIYS1j5r6nJOiWD,
the salsoul orchestra,the salsoul orchestra,the salsoul orchestra,the salsoul orchestra,The Salsoul Orchestra,0m04NLVsIfjqZMBfw7vTf4,philly soul;disco;post-disco
the san remo golden strings,the san remo golden strings,the san remo golden strings,the san remo golden strings,,,
the sanford/townsend b,the sanford/townsend b,the sanford/townsend b,the sanford townsend b,,,
