artist,l1,l2,l3,matched_name,spotify_artist_id,genres_raw,genre_main,inferred_from,confidence
freda payne,freda payne,freda payne,freda payne,Freda Payne,0701Axu6yvUIoctaKMbDIZ,classic soul;motown;northern soul,RnB,direct,1.0
freddie,freddie,freddie,freddie,Freddie Gibbs,0Y4inQK6OespitzD6ijMwb,alternative hip hop;jazz rap,HipHop,direct,1.0
freddie cannon,freddie cannon,freddie cannon,freddie cannon,Freddie & the Cannonballs,6vzZRD8QvBc5tOX7c4D1bv,,,none,0.0
freddie hart,freddie hart,freddie hart,freddie hart,Freddie Hart,2cyENLzpUJ2GfZJwmWxlI4,classic country;rockabilly;traditional country,Rock,direct,1.0
freddie hughes,freddie hughes,freddie hughes,freddie hughes,Freddie Hughes,6BPxwaBHN227f6pCOMxhHO,northern soul,RnB,direct,1.0
freddie jackson,freddie jackson,freddie jackson,freddie jackson,Freddie Jackson,2yaixhgm3yXxjhJAH8SZy3,classic soul;quiet storm,RnB,direct,1.0
freddie mccoy,freddie mccoy,freddie mccoy,freddie mccoy,Freddie McCoy,6PzXGDPVnXgjfV9rW9g25P,,,none,0.0
freddie mercury,freddie mercury,freddie mercury,freddie mercury,Freddie Mercury,4M1FpEWs2PeYfJe7xxJfhH,,,none,0.0
freddie north,freddie north,freddie north,freddie north,Freddie North,3cHgAeclHi4hCddSkKDOKv,rockabilly,Rock,direct,1.0
freddie scott,freddie scott,freddie scott,freddie scott,Freddie Scott,3uuQLSmKyXSXIStTYGKLrT,,,none,0.0
freddy cannon,freddy cannon,freddy cannon,freddy cannon,Freddy Cannon,1ffNa7yLg0ncUpBm5P03pm,doo-wop;rockabilly,Rock,direct,1.0
freddy fender,freddy fender,freddy fender,freddy fender,Freddy Fender,0SNdq9iJyup4XY6JbNHbt6,classic country;tejano,Country,direct,1.0
freddy king,freddy king,freddy king,freddy king,Freddy King,6pwCX5jsLlyzZDiH2fTsya,classic blues;northern soul,RnB,direct,1.0
freddy robinson,freddy robinson,freddy robinson,freddy robinson,Freddy Robinson,4Vq67R8dIs1pu5RwfAOARV,jazz blues,Jazz,direct,1.0
freddy scott,freddy scott,freddy scott,freddy scott,Freddy Scott,2v9AgsBq3PTAHGnw9zILmf,,,none,0.0
frederick knight,frederick knight,frederick knight,frederick knight,Frederick Knight,3X7yeRPAqw2O76f84A2r9U,classic soul,RnB,direct,1.0
free,free,free,free,Free Nationals,4596e2d3KmYzAeVenjCxfj,,,none,0.0
free movement,free movement,free movement,free movement,The Free Movement,75LPMzMMXdqp5WxuDrmq7j,,,none,0.0
freedom williams,freedom williams,freedom williams,freedom williams,Freedom Williams,08MVPakTEdRJimQNV61NFR,hip house,Electronic,direct,1.0
freedy johnston,freedy johnston,freedy johnston,freedy johnston,Freedy Johnston,5aeoG3xBrai5JsTqVmmgj0,power pop,Pop,direct,1.0
freeway,freeway,freeway,freeway,Freeway,2Jwr7hGoSNK3S3QBxh3T0z,east coast hip hop,HipHop,direct,1.0
french montana,french montana,french montana,french montana,French Montana,6vXTefBL93Dj5IqAWq6OTv,,,none,0.0
frenship,frenship,frenship,frenship,FRENSHIP,7xEFii6utZmQ61kX59HmLH,,,none,0.0
frente!,frente!,frente!,frente,Frente Norte,7AekK1un5wlffAe0UEhyCQ,norteño;norteño-sax,Other,direct,1.0
frida,frida,frida,frida,Fridayy,7sP4SQ0WY6jfps1I19Ot7i,,,none,0.0
fridayy,fridayy,fridayy,fridayy,Fridayy,7sP4SQ0WY6jfps1I19Ot7i,,,none,0.0
friend,friend,friend,friend,BETWEEN FRIENDS,2HkSsS8O2U2gPhnCGVN5vn,,,none,0.0
frijid pink,frijid pink,frijid pink,frijid pink,Frijid Pink,0K24Tk5QTxx6tkcCdnY3Od,acid rock;psychedelic rock,Rock,direct,1.0
frost,frost,frost,frost,Frostydasnowmann,2Bb57H1EnnHxtpSyOAJF8l,,,none,0.0
frozen ghost,frozen ghost,frozen ghost,frozen ghost,Frozen Ghost,4ignUMEBtc05bLUlavYgBn,aor;arena rock,Rock,direct,1.0
