artist,l1,l2,l3,matched_name,spotify_artist_id,genres_raw,source,matched_from,last_chart_year,genre_main
steelheart,steelheart,steelheart,steelheart,STEELHEART,0ecbvwhuhiEAWOLHlRXpqD,glam metal;glam rock,spotify,artist,1991,Rock
steely dan,steely dan,steely dan,steely dan,Steely Dan,6P7H3ai06vU1sGvdpBwDmE,yacht rock;classic rock,spotify,artist,1981,Rock
stephanie beatriz,stephanie beatriz,stephanie beatriz,stephanie beatriz,Stephanie Beatriz,5PYToRCsrnvikZg3yl2JMr,,none,artist,2022,
"stephanie beatriz, olga merediz & encanto cast","stephanie beatriz, olga merediz & encanto cast",stephanie beatriz,stephanie beatriz,Stephanie Beatriz,5PYToRCsrnvikZg3yl2JMr,,none,l2,2022,
"stephanie beatriz, olga merediz, john leguizamo, adassa, maluma & encanto cast","stephanie beatriz, olga merediz, john leguizamo, adassa, maluma & encanto cast",stephanie beatriz,stephanie beatriz,Stephanie Beatriz,5PYToRCsrnvikZg3yl2JMr,,none,l2,2022,
stephanie mills,stephanie mills,stephanie mills,stephanie mills,Stephanie Mills,0PcIlEZa7rreM7729ot05g,quiet storm;classic soul;post-disco,spotify,artist,1987,RnB
stephanie mills featuring teddy pendergrass,stephanie mills,stephanie mills,stephanie mills,Stephanie Mills,0PcIlEZa7rreM7729ot05g,quiet storm;classic soul;post-disco,spotify,l1,1981,RnB
stephen bishop,stephen bishop,stephen bishop,stephen bishop,Stephen Bishop,3JhRHqCi8HEzkJVWt19LtN,yacht rock;soft rock,spotify,artist,1984,Rock
stephen sanchez,stephen sanchez,stephen sanchez,stephen sanchez,Stephen Sanchez,5XKFrudbV4IiuE5WuTPRmT,folk pop;jangle pop;pop,musicbrainz,artist,2023,Pop
stephen stills,stephen stills,stephen stills,stephen stills,Stephen Stills,4WlSvDKaq1PA2Nr7cCIPxX,folk rock;country rock;singer-songwriter,spotify,artist,1984,Folk
stephen stills-manassas,stephen stills-manassas,stephen stills-manassas,stephen stillsmanassas,,,,none,,1973,
steppenwolf,steppenwolf,steppenwolf,steppenwolf,Steppenwolf,1WRM9i067hd2ujxxi8FI3m,classic rock;acid rock,spotify,artist,1974,Rock
stereo mc's,stereo mc's,stereo mc's,stereo mcs,Stereo MC's,1k8VBufn1nBs8LN9n4snc8,acid jazz;madchester,spotify,artist,1993,Jazz
steve & eydie,steve & eydie,steve,steve,Steve & Eydie,5ImYCMbYyZct38xa9IaGjS,traditional pop;2008 universal fire victim,musicbrainz,artist,1964,Pop
steve & eydie featuring the osmonds,steve & eydie,steve,steve,Steve & Eydie,5ImYCMbYyZct38xa9IaGjS,traditional pop;2008 universal fire victim,musicbrainz,l1,1972,Pop
steve alaimo,steve alaimo,steve alaimo,steve alaimo,Steve Alaimo,3mnvGu4mOJr5MVVPtvaZo6,rock and roll;rock,musicbrainz,artist,1972,Rock
steve allen,steve allen,steve allen,steve allen,Steve Allen,3sMqu88JyGQ5kBmeQIfMaY,2008 universal fire victim;death by automobile;death by heart attack,musicbrainz,artist,1963,
steve allen and his orchestra with the copacabana trio,steve allen and his orchestra with the copacabana trio,steve allen,steve allen,Steve Allen,3sMqu88JyGQ5kBmeQIfMaY,2008 universal fire victim;death by automobile;death by heart attack,musicbrainz,l2,1963,
steve aoki & louis tomlinson,steve aoki & louis tomlinson,steve aoki,steve aoki,Steve Aoki,77AiFEVeAVj2ORpC85QVJs,electro house;edm,spotify,l2,2017,Electronic
steve aoki featuring bts,steve aoki,steve aoki,steve aoki,Steve Aoki,77AiFEVeAVj2ORpC85QVJs,electro house;edm,spotify,l1,2018,Electronic
"steve aoki, chris lake & tujamo featuring kid ink","steve aoki, chris lake & tujamo",steve aoki,steve aoki,Steve Aoki,77AiFEVeAVj2ORpC85QVJs,electro house;edm,spotify,l2,2014,Electronic
steve arrington,steve arrington,steve arrington,steve arrington,Steve Arrington,030gEPJwNJnBcyra7CB9vM,post-disco,spotify,artist,1985,
steve azar,steve azar,steve azar,steve azar,Steve Azar,6x9fdTmlcJVJtChlLgT1G3,acoustic country;country,spotify,artist,2002,Country
steve carlisle,steve carlisle,steve carlisle,steve carlisle,Steve Carlisle,3iyMlww8h3Hru5AzHiVAnr,,none,artist,1982,
steve dahl and teenage radiation,steve dahl and teenage radiation,steve dahl,steve dahl,Steve Dahl,5IBenYsRyWSCkViFn77KiQ,comedy,spotify,l2,1979,
steve forbert,steve forbert,steve forbert,steve forbert,Steve Forbert,3oAbjWINfcTSAuVUlXXMty,singer-songwriter,spotify,artist,1980,Folk
steve greenberg,steve greenberg,steve greenberg,steve greenberg,Steve Greenberg,1xiHjRF2hR4qz2K37X5Yiw,,none,artist,1969,
steve harley and cockney rebel,steve harley and cockney rebel,steve harley,steve harley,Steve Harley,3dS8rLINyM7EYuMXryXJym,glam rock,spotify,l2,1976,Rock
steve holy,steve holy,steve holy,steve holy,Steve Holy,0iYwcf0XreyCAswJOJMOII,country,spotify,artist,2011,Country
steve lacy,steve lacy,steve lacy,steve lacy,Steve Lacy,57vWImR43h4CaDao012Ofp,jazz;avant-garde jazz;free jazz;post-bop;vocal jazz,musicbrainz,artist,2023,Jazz
steve lawrence,steve lawrence,steve lawrence,steve lawrence,Steve Lawrence,271pvVqDFiREx6PqzwOX8p,adult standards;easy listening,spotify,artist,1964,
steve martin,steve martin,steve martin,steve martin,Steve Martin,1Bd4UVlqlaKEXYRG3wgrCK,bluegrass;comedy;newgrass,spotify,artist,1979,Country
steve martin and the toot uncommons,steve martin and the toot uncommons,steve martin,steve martin,Steve Martin,1Bd4UVlqlaKEXYRG3wgrCK,bluegrass;comedy;newgrass,spotify,l2,1978,Country
steve miller,steve miller,steve miller,steve miller,Steve Miller,3T77wBtAOGA9X5imxc6GKo,blues rock;psychedelic rock;rock;pop rock;country rock,musicbrainz,artist,1985,Rock
steve perry,steve perry,steve perry,steve perry,Steve Perry,5xQKoGD7Ql92fWd1uWwKkf,yacht rock;aor,spotify,artist,1995,Rock
