artist,l1,l2,l3,matched_name,spotify_artist_id,genres_raw,source,matched_from,last_chart_year
lloyd price,lloyd price,lloyd price,lloyd price,Lloyd Price,3iOE5ItEv5xr9fmKi7GNh2,doo-wop,spotify,artist,1964
lloyd price and his orchestra,lloyd price and his orchestra,lloyd price,lloyd price,Lloyd Price,3iOE5ItEv5xr9fmKi7GNh2,doo-wop,spotify,l2,1960
lo-key?,lo-key?,lo-key?,lokey,Lo-Key?,2JqijdV9jIJWxfgZJ5ZsEk,new jack swing;quiet storm,spotify,artist,1993
locash,locash,locash,locash,LOCASH,5IcGbIAgdns0R5EJKHMjCQ,country;country hip hop,spotify,artist,2025
lobo,lobo,lobo,lobo,Lobo,1sldhz8tzC100cRAdfnMht,,none,artist,1980
loe shimmy & brent faiyaz,loe shimmy & brent faiyaz,loe shimmy,loe shimmy,Loe Shimmy,6UIpxj5ggLdOebFVCOxVax,sexy drill,spotify,l2,2024
loggins & messina,loggins & messina,loggins,loggins,Loggins & Messina,7emRV8AluG3d4e5T0DZiK9,yacht rock,spotify,artist,1975
logic,logic,logic,logic,Logic,4xRYI6VqpkE3UwrDrAZL8L,,none,artist,2020
logic & marshmello,logic & marshmello,logic,logic,Logic,4xRYI6VqpkE3UwrDrAZL8L,,none,l2,2018
logic featuring alessia cara & khalid,logic,logic,logic,Logic,4xRYI6VqpkE3UwrDrAZL8L,,none,l1,2018
logic featuring big sean,logic,logic,logic,Logic,4xRYI6VqpkE3UwrDrAZL8L,,none,l1,2018
logic featuring damian lemar hudson,logic,logic,logic,Logic,4xRYI6VqpkE3UwrDrAZL8L,,none,l1,2017
logic featuring eminem,logic,logic,logic,Logic,4xRYI6VqpkE3UwrDrAZL8L,,none,l1,2019
logic featuring ryan tedder,logic,logic,logic,Logic,4xRYI6VqpkE3UwrDrAZL8L,,none,l1,2018
logic featuring wiz khalifa,logic,logic,logic,Logic,4xRYI6VqpkE3UwrDrAZL8L,,none,l1,2018
logic featuring young sinatra,logic,logic,logic,Logic,4xRYI6VqpkE3UwrDrAZL8L,,none,l1,2018
lois fletcher,lois fletcher,lois fletcher,lois fletcher,,,,none,,1974
lola brooke x latto x yung miami or featuring billy b,lola brooke x latto x yung miami or,lola brooke,lola brooke,Lola Brooke,2Ggj5XNlIb4Lnbqe307FyB,,none,l2,2023
lola young,lola young,lola young,lola young,Lola Young,67FB4n52MgexGQIG8s0yUH,,none,artist,2025
loleatta holloway,loleatta holloway,loleatta holloway,loleatta holloway,Loleatta Holloway,3m5hegxlB80Z2zQb1893pc,philly soul;disco;chicago house;post-disco;disco house,spotify,artist,1977
